Storage_ID,Farm_ID,Entry_Date,Exit_Date,Quantity_Stored_kg,Quantity_Spoiled_kg,Temperature_C,Humidity_percent,Storage_Cost,Loss_Reason
S0001,F0148,2024-03-08,2024-03-18,6960,2369,15.4,80.5,30135.34,Bruising
S0002,F0198,2024-08-20,2024-09-09,9641,912,13.4,79.1,19513.57,Overheating
S0003,F0159,2024-06-04,2024-06-24,8129,1925,8.8,58.4,9174.56,Overheating
S0004,F0181,2024-07-15,2024-08-03,6795,53,12.4,92.4,14310.2,Bruising
S0005,F0152,2024-09-08,2024-09-17,4966,447,9.5,41.2,22942.88,Overheating
S0006,F0199,2024-06-27,2024-07-12,1316,269,30.5,59.5,30988.14,Overheating
S0007,F0181,2024-04-25,2024-04-30,7128,1385,11.8,51.1,25208.75,Bruising
S0008,F0066,2024-09-22,2024-09-26,8086,1105,19.2,45.7,17595.88,Overheating
S0009,F0293,2024-10-26,2024-10-30,8457,1633,12.0,86.7,12613.73,Overheating
S0010,F0235,2024-11-06,2024-11-10,6518,1857,15.8,59.4,15412.24,Overheating
S0011,F0004,2024-10-11,2024-10-31,6599,1323,29.3,86.7,20982.89,Mold
S0012,F0075,2024-06-02,2024-06-08,9096,1250,19.8,60.7,10813.62,Bruising
S0013,F0105,2024-06-14,2024-07-04,4275,672,34.2,89.0,38324.73,Rot
S0014,F0154,2024-01-25,2024-02-03,9555,2042,32.8,82.5,22462.99,Mold
S0015,F0238,2024-09-21,2024-10-08,7346,1600,17.7,72.7,15342.06,Rot
S0016,F0051,2024-12-12,2024-12-15,8905,944,19.1,67.5,26644.38,Overheating
S0017,F0206,2024-03-19,2024-03-26,7201,1998,19.9,74.4,39852.72,Bruising
S0018,F0186,2024-12-20,2025-01-06,1811,179,16.6,93.8,33389.11,Overheating
S0019,F0176,2024-03-30,2024-04-03,5131,1417,30.2,94.5,35749.46,Mold
S0020,F0262,2024-11-19,2024-11-25,8886,1192,13.6,89.1,17665.87,Rot
S0021,F0292,2024-11-18,2024-12-07,2046,366,34.8,75.0,3607.92,Mold
S0022,F0284,2024-01-06,2024-01-07,5325,1460,8.1,56.7,34002.0,Overheating
S0023,F0255,2024-01-08,2024-01-09,3521,363,28.8,71.2,35103.25,Overheating
S0024,F0211,2024-09-20,2024-09-25,9712,818,24.2,48.0,21700.11,Overheating
S0025,F0088,2024-02-24,2024-02-25,1940,82,33.6,67.0,19765.67,Mold
S0026,F0074,2024-02-01,2024-02-02,9783,1327,27.3,59.5,8437.76,Bruising
S0027,F0179,2024-11-17,2024-11-21,9839,263,13.2,74.3,2742.84,Pests
S0028,F0028,2024-07-21,2024-08-09,1019,230,24.7,53.7,3671.19,Overheating
S0029,F0156,2024-03-29,2024-04-09,400,121,19.3,53.9,35699.66,Rot
S0030,F0212,2024-05-04,2024-05-17,9881,911,16.3,88.1,20406.8,Pests
S0031,F0195,2024-02-14,2024-02-20,3084,738,13.0,93.4,13046.62,Overheating
S0032,F0198,2024-07-04,2024-07-08,5788,1098,17.1,75.8,38526.69,Mold
S0033,F0098,2024-06-28,2024-07-16,4313,798,20.6,58.9,18551.9,Bruising
