Transport_ID,Farm_ID,Market_ID,Vehicle_Type,Distance_km,Departure_Date,Arrival_Date,Transport_Time_hours,Fuel_Cost,Quantity_Transported_kg,Quantity_Damaged_kg,Road_Condition
T0001,F0294,M0202,Mini Van,697,7/23/2024,7/23/2024 22:00,22,153804.78,3434,184,Good
T0002,F0191,M0130,Open Truck,88,5/28/2024,5/29/2024 19:00,43,89988.56,1076,256,Poor
T0003,F0269,M0115,Refrigerated Truck,955,11/26/2024,11/27/2024 11:00,35,122102.32,4790,880,Poor
T0004,F0059,M0064,Mini Van,271,6/11/2024,6/11/2024 16:00,16,60282.62,10452,717,Good
T0005,F0171,M0187,Refrigerated Truck,997,9/9/2024,9/10/2024 20:00,44,200347.27,3381,972,Poor
T0006,F0039,M0018,Refrigerated Truck,73,3/29/2024,3/29/2024 9:00,9,14279.71,3158,456,Fair
T0007,F0119,M0218,Open Truck,112,7/29/2024,7/31/2024 18:00,66,150708.87,1711,423,Good
T0008,F0213,M0102,Open Truck,1044,6/22/2024,6/23/2024 17:00,41,12240.22,10628,2013,Good
T0009,F0172,M0004,Open Truck,202,11/6/2024,11/8/2024 9:00,57,212146.64,3618,453,Fair
T0010,F0051,M0150,Refrigerated Truck,1198,9/7/2024,9/9/2024 17:00,65,85746.9,6421,1714,Fair
T0011,F0256,M0139,Mini Van,779,11/17/2024,11/18/2024 11:00,35,34880.73,7007,268,Good
T0012,F0259,M0154,Open Truck,247,7/26/2024,7/26/2024 15:00,15,185616.99,8459,1770,Fair
T0013,F0142,M0172,Open Truck,981,6/4/2024,6/4/2024 7:00,7,224831.34,10222,1725,Good
T0014,F0152,M0161,Mini Van,117,6/28/2024,6/30/2024 13:00,61,89635.7,6507,211,Poor
T0015,F0015,M0111,Refrigerated Truck,1141,4/30/2024,5/2/2024 5:00,53,162278.93,9573,2702,Poor
T0016,F0274,M0012,Mini Van,602,3/15/2024,3/17/2024 15:00,63,237267.51,5279,1298,Good
T0017,F0016,M0234,Mini Van,347,3/16/2024,3/17/2024 19:00,43,202076.74,1277,125,Good
T0018,F0167,M0158,Mini Van,300,7/14/2024,7/15/2024 6:00,30,239067.87,8963,2480,Good
T0019,F0178,M0040,Refrigerated Truck,368,5/6/2024,5/8/2024 10:00,58,212608.86,8754,1579,Fair
T0020,F0253,M0014,Open Truck,344,7/8/2024,7/8/2024 4:00,4,211198.48,8948,1108,Good
T0021,F0169,M0019,Open Truck,787,7/22/2024,7/25/2024 0:00,72,42110.83,1352,167,Fair
T0022,F0236,M0130,Open Truck,1007,10/4/2024,10/4/2024 7:00,7,206908.33,9809,498,Good
T0023,F0001,M0014,Refrigerated Truck,209,4/20/2024,4/20/2024 21:00,21,225601.07,5333,469,Good
T0024,F0095,M0081,Mini Van,814,8/12/2024,8/14/2024 20:00,68,174247.67,5670,264,Poor
T0025,F0278,M0047,Open Truck,771,10/17/2024,10/19/2024 11:00,59,223409.56,4816,515,Good
T0026,F0157,M0197,Open Truck,637,12/21/2024,12/21/2024 4:00,4,87529.01,2296,206,Poor
T0027,F0227,M0028,Open Truck,724,5/24/2024,5/26/2024 13:00,61,106472.35,9153,653,Good
T0028,F0004,M0024,Mini Van,831,3/23/2024,3/24/2024 4:00,28,30030.6,1502,385,Good
T0029,F0060,M0008,Refrigerated Truck,707,8/20/2024,8/20/2024 8:00,8,58268.65,7004,1841,Poor
T0030,F0186,M0180,Open Truck,798,8/11/2024,8/12/2024 22:00,46,26081.9,7735,2177,Fair
T0031,F0224,M0084,Refrigerated Truck,588,5/24/2024,5/25/2024 15:00,39,55028.1,2221,219,Poor
T0032,F0046,M0241,Open Truck,930,9/3/2024,9/4/2024 16:00,40,25036.02,6523,1274,Fair
T0033,F0203,M0027,Open Truck,1038,8/6/2024,8/7/2024 10:00,34,178219.24,8401,1059,Poor
T0034,F0004,M0124,Refrigerated Truck,712,3/21/2024,3/23/2024 19:00,67,100264.82,7385,781,Good
T0035,F0080,M0079,Refrigerated Truck,1064,10/12/2024,10/12/2024 12:00,12,40782.35,6728,1351,Fair
T0036,F0245,M0157,Mini Van,294,8/16/2024,8/18/2024 13:00,61,51586.58,5014,1207,Fair
T0037,F0013,M0071,Mini Van,1027,11/23/2024,11/25/2024 18:00,66,99813,559,105,Good
T0038,F0101,M0179,Mini Van,199,8/6/2024,8/6/2024 4:00,4,31360.54,7975,1683,Good
T0039,F0191,M0148,Mini Van,940,6/7/2024,6/9/2024 2:00,50,161972.23,3622,849,Fair
T0040,F0158,M0133,Open Truck,925,7/18/2024,7/18/2024 15:00,15,192421.97,3999,140,Fair
T0041,F0088,M0062,Mini Van,1048,12/4/2024,12/5/2024 22:00,46,140261.11,9645,1712,Fair
T0042,F0253,M0188,Refrigerated Truck,86,6/17/2024,6/18/2024 10:00,34,245031.64,6616,645,Poor
T0043,F0029,M0089,Refrigerated Truck,171,9/18/2024,9/19/2024 4:00,28,223413.97,1179,81,Good
