Farm_ID,State,Crop_Type,Harvest_Date,Quantity_Harvested_kg,Expected_Shelf_Life_days,Storage_Type,Initial_Quality_percent,Cost_per_kg,Crop_Type_Url
F0001,Kaduna,Cassava,6/14/2024,11164,4,None,99,110.48,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0002,Ogun,Rice,10/25/2024,1114,5,Silo,91,100.04,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0003,Akwa Ibom,Cassava,2/16/2024,1468,29,None,79,341.17,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0004,Ogun,Cassava,10/25/2024,1312,10,None,100,439.14,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0005,Anambra,Onion,5/28/2024,9358,6,Cold Room,100,420.93,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0006,Kano,Rice,4/2/2024,6601,6,None,68,336.17,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0007,Akwa Ibom,Cassava,9/11/2024,5646,17,Silo,88,198.9,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0008,Nasarawa,Pepper,4/2/2024,9911,12,Silo,86,383.66,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0009,Oyo,Pepper,5/27/2024,8887,16,Warehouse,86,135.35,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0010,Anambra,Tomato,9/7/2024,11448,5,Cold Room,86,368.98,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0011,Abia,Plantain,10/31/2024,1626,29,None,82,273.86,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0012,Oyo,Tomato,12/6/2024,11993,12,Silo,83,378.15,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0013,Delta,Tomato,12/8/2024,8064,14,Warehouse,72,282.29,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0014,Kwara,Onion,4/21/2024,4556,15,Silo,96,104.65,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0015,Enugu,Maize,8/17/2024,2743,29,Silo,100,189.72,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
F0016,Delta,Cassava,7/31/2024,4280,7,None,76,135.06,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0017,Nasarawa,Tomato,12/3/2024,8445,29,Warehouse,81,191.23,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0018,Anambra,Yam,3/15/2024,10491,21,Cold Room,73,366.91,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
F0019,Ogun,Plantain,9/20/2024,11650,28,Silo,90,241.56,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0020,Abia,Cassava,2/23/2024,1519,9,None,78,259.47,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
F0021,Edo,Tomato,2/26/2024,2177,3,Warehouse,99,113.63,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
F0022,Lagos,Pepper,7/5/2024,3907,22,Silo,74,342.8,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
F0023,Delta,Plantain,6/26/2024,2512,6,Silo,94,276.57,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
F0024,Oyo,Onion,6/8/2024,2174,26,Cold Room,81,275.81,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
