Market_ID,State,Market_Type,Crop_Type,Demand_kg,Quantity_Received_kg,Selling_Price_per_kg,Unsold_kg,Spoiled_At_Market_kg
M0001,Ogun,Urban,Tomato,1660,1531,524.95,435,232
M0002,Lagos,Urban,Tomato,7354,6244,689.22,557,1148
M0003,Benue,Urban,Onion,2005,1725,300.29,4,127
M0004,Oyo,Urban,Rice,4472,458,221.06,29,3
M0005,Edo,Rural,Cassava,6094,900,628.31,178,133
M0006,Niger,Urban,Maize,4835,3028,182.15,85,56
M0007,Edo,Rural,Plantain,10824,1157,215.92,67,134
M0008,Anambra,Rural,Maize,10515,9481,607.57,630,209
M0009,Abia,Urban,Pepper,4358,1575,518.63,410,36
M0010,Imo,Urban,Pepper,3734,3551,680.9,926,724
M0011,Lagos,Urban,Rice,8331,4928,193.37,283,891
M0012,Rivers,Rural,Yam,10986,7792,612.61,1058,493
M0013,Rivers,Rural,Rice,1106,534,555.06,56,6
M0014,Benue,Urban,Maize,11924,7742,796.83,787,1258
M0015,Nasarawa,Rural,Yam,4872,1375,682.35,31,80
M0016,Rivers,Export Hub,Maize,11760,5373,157.85,646,812
M0017,Ogun,Rural,Rice,10581,5469,222.85,601,182
M0018,Plateau,Rural,Pepper,10912,4316,653.81,61,945
M0019,Abia,Export Hub,Maize,9140,6244,647.29,1467,1404
M0020,Enugu,Rural,Plantain,2340,1649,165.36,319,35
M0021,Edo,Rural,Cassava,11553,8714,643.82,1841,908
M0022,Ogun,Urban,Plantain,6689,4682,179.75,644,915
M0023,Kaduna,Urban,Plantain,5164,1389,585.16,285,19
M0024,Edo,Rural,Pepper,1175,607,218.48,169,17
M0025,Ogun,Rural,Onion,2140,1766,480.42,52,376
M0026,Anambra,Urban,Rice,1757,947,238.1,272,41
M0027,Kano,Urban,Plantain,7576,6099,780.79,742,692
M0028,Enugu,Rural,Rice,2516,675,770.35,189,66
M0029,Plateau,Export Hub,Onion,10496,5030,629.32,805,952
M0030,Lagos,Rural,Plantain,8645,2053,673.62,253,346
M0031,Edo,Urban,Yam,11992,2733,584.18,328,630
M0032,Nasarawa,Export Hub,Yam,11407,7155,127.08,0,115
M0033,Nasarawa,Rural,Maize,4766,622,765.73,83,9
M0034,Enugu,Rural,Maize,5540,3369,194.96,361,632
M0035,Nasarawa,Export Hub,Tomato,4321,351,793.64,52,86
M0036,Kwara,Rural,Yam,3408,3391,378.86,832,154
M0037,Edo,Export Hub,Tomato,5631,1394,354.79,276,122
M0038,Akwa Ibom,Export Hub,Tomato,3428,1609,659.64,71,396
M0039,Abia,Rural,Rice,9574,7766,616.02,1389,1937
M0040,Kano,Rural,Tomato,6513,2342,734.07,102,65
M0041,Oyo,Rural,Tomato,1018,532,254.94,18,94
M0042,Abia,Rural,Maize,8170,5543,554.27,637,822
M0043,Kwara,Export Hub,Yam,10048,8008,509.82,1412,652
M0044,Rivers,Urban,Plantain,2334,1528,423.37,424,300
M0045,Plateau,Urban,Yam,793,750,489.08,58,170
M0046,Imo,Export Hub,Cassava,11393,2345,136.07,35,582
M0047,Rivers,Rural,Yam,2746,2058,189.06,188,94
M0048,Anambra,Urban,Cassava,10492,1246,553.12,187,112
M0049,Kwara,Rural,Onion,1861,1153,454.07,167,103
M0050,Enugu,Export Hub,Onion,8797,477,244.67,36,85
M0051,Delta,Urban,Tomato,11237,9333,261.03,2331,462
M0052,Plateau,Export Hub,Plantain,983,814,754.19,230,182
M0053,Imo,Urban,Cassava,9774,3796,212.65,313,147
M0054,Anambra,Urban,Plantain,11865,4545,156.83,478,565
M0055,Nasarawa,Export Hub,Maize,692,474,277.82,42,115
M0056,Plateau,Export Hub,Pepper,3474,1250,629.47,89,308
M0057,Rivers,Urban,Plantain,10334,3836,762.01,869,279
M0058,Akwa Ibom,Export Hub,Cassava,7851,7420,216.63,285,176
M0059,Akwa Ibom,Rural,Cassava,8136,1705,641.28,221,327
M0060,Anambra,Rural,Cassava,4616,1929,326.17,165,116
M0061,Oyo,Urban,Rice,3253,2900,521.02,456,223
M0062,Anambra,Rural,Plantain,2639,2366,642.72,188,303
M0063,Abia,Export Hub,Rice,10300,8266,440.84,1134,1937
M0064,Nasarawa,Urban,Yam,8939,2669,596.91,173,512
M0065,Anambra,Rural,Yam,1740,1126,599.37,181,51
M0066,Akwa Ibom,Urban,Tomato,7021,5587,697.66,952,311
M0067,Enugu,Rural,Maize,8411,3203,226.4,645,521
M0068,Kaduna,Export Hub,Yam,11288,11158,580.94,2811,16
M0069,Nasarawa,Rural,Onion,7133,6780,493.59,1208,668
M0070,Kano,Urban,Tomato,7194,5632,539.14,585,373
M0071,Delta,Export Hub,Tomato,8458,3911,357.89,562,507
M0072,Kano,Rural,Maize,9315,5626,383.24,976,1309
M0073,Delta,Rural,Pepper,10580,9561,366.74,68,1067
M0074,Edo,Rural,Plantain,10894,9130,228.95,1129,49
M0075,Plateau,Urban,Tomato,11904,6481,620.97,155,44
M0076,Nasarawa,Urban,Cassava,2903,901,299.41,116,79
M0077,Kaduna,Rural,Rice,2354,889,147.11,45,141
M0078,Benue,Export Hub,Onion,8740,6620,784.22,190,864
M0079,Kano,Urban,Tomato,1224,386,342.91,20,7
M0080,Imo,Urban,Pepper,11977,10623,243.03,460,690
M0081,Delta,Urban,Cassava,10582,6164,341.2,405,1377
M0082,Abia,Urban,Onion,7301,2375,232.58,238,456
M0083,Imo,Export Hub,Tomato,3094,1737,652.57,60,320
M0084,Lagos,Export Hub,Yam,9567,526,568.93,112,115
M0085,Akwa Ibom,Export Hub,Onion,8978,2716,457.8,805,49
M0086,Lagos,Export Hub,Tomato,11878,6580,694.24,1414,320
M0087,Enugu,Export Hub,Cassava,6530,3692,346.96,387,722
M0088,Edo,Rural,Rice,8457,8127,302.88,660,1187
M0089,Edo,Rural,Maize,4056,3544,664.72,8,680
M0090,Akwa Ibom,Rural,Maize,6118,1598,703.75,439,293
M0091,Anambra,Urban,Cassava,1959,1307,736.9,76,23
M0092,Oyo,Export Hub,Onion,10209,8616,189.97,17,1750
M0093,Niger,Urban,Plantain,5132,1231,561.14,226,222
M0094,Kwara,Urban,Pepper,2198,373,564.94,106,63
M0095,Rivers,Export Hub,Cassava,5153,3335,642.84,942,210
M0096,Edo,Rural,Plantain,11948,10908,771.64,1868,1137
M0097,Akwa Ibom,Export Hub,Onion,1359,596,359.1,13,75
M0098,Ogun,Rural,Plantain,6768,2340,137.39,518,265
M0099,Plateau,Rural,Plantain,1940,1920,715.73,35,457
M0100,Benue,Urban,Pepper,1918,1793,558.65,351,148
M0101,Benue,Urban,Plantain,8794,4564,703.14,336,688
M0102,Nasarawa,Urban,Maize,4267,1324,780.32,31,132
M0103,Imo,Urban,Pepper,1633,1591,403.1,272,196
M0104,Enugu,Urban,Plantain,8294,6899,446.99,247,640
M0105,Rivers,Export Hub,Pepper,9283,3510,496.8,328,265
M0106,Abia,Rural,Plantain,7237,1674,754.59,460,70
M0107,Abia,Export Hub,Yam,9827,6323,230.25,1134,202
M0108,Kaduna,Rural,Maize,2162,1053,777.43,57,194
M0109,Edo,Urban,Yam,6908,5032,259.11,364,1121
M0110,Delta,Export Hub,Yam,2631,1464,446.88,322,233
M0111,Delta,Urban,Rice,10987,3540,324.19,358,556
M0112,Plateau,Export Hub,Pepper,4601,827,259.92,2,107
M0113,Kwara,Urban,Rice,8914,2235,581.19,113,242
M0114,Anambra,Urban,Maize,11537,329,332.84,6,34
M0115,Delta,Export Hub,Onion,9913,444,128.89,106,65
M0116,Plateau,Urban,Maize,3921,1034,518.12,52,114
M0117,Enugu,Export Hub,Tomato,9046,5600,165.75,786,1382
M0118,Kaduna,Rural,Yam,7554,1205,712.16,263,138
M0119,Akwa Ibom,Export Hub,Cassava,961,327,229.56,54,6
M0120,Delta,Rural,Onion,6587,4815,230.55,735,273
M0121,Benue,Rural,Pepper,3084,911,501.12,63,28
M0122,Nasarawa,Rural,Onion,7361,4095,280.99,118,30
M0123,Nasarawa,Urban,Plantain,694,423,520.5,45,105
M0124,Ogun,Urban,Tomato,7634,3048,427.79,783,487
M0125,Benue,Urban,Pepper,8842,4213,296.66,1237,77
M0126,Anambra,Rural,Pepper,6033,1027,468.27,40,173
M0127,Kwara,Rural,Yam,7922,2301,753.43,176,158
M0128,Benue,Export Hub,Tomato,2339,1746,458.48,439,262
M0129,Ogun,Rural,Tomato,11217,2865,348.03,809,640
M0130,Enugu,Urban,Rice,2278,1366,575.33,261,97
M0131,Nasarawa,Rural,Tomato,7699,2421,597.11,93,464
M0132,Anambra,Urban,Maize,11443,6826,795.82,812,206
M0133,Edo,Urban,Tomato,6088,2332,392.51,677,272
M0134,Oyo,Urban,Tomato,11879,7356,489.25,637,141
M0135,Abia,Rural,Rice,4911,1118,187.45,257,195
M0136,Abia,Urban,Onion,8720,7638,165.64,259,597
M0137,Benue,Export Hub,Tomato,7765,1340,656.82,357,12
M0138,Ogun,Urban,Maize,1827,531,356.62,61,82
M0139,Niger,Urban,Plantain,11994,6308,417.8,1458,832
M0140,Anambra,Urban,Onion,658,367,568.14,69,11
M0141,Oyo,Export Hub,Rice,4870,1258,122.46,194,58
M0142,Kwara,Export Hub,Yam,1293,1195,695.78,43,181
M0143,Plateau,Rural,Rice,9759,7541,448.42,2183,1319
M0144,Rivers,Export Hub,Rice,6127,1335,541.28,181,191
M0145,Lagos,Rural,Cassava,11405,8539,571.63,2063,527
M0146,Niger,Urban,Plantain,3638,478,651.1,75,68
M0147,Akwa Ibom,Rural,Maize,9076,8104,319.29,2092,509
M0148,Plateau,Export Hub,Plantain,1121,562,706.26,82,123
M0149,Delta,Export Hub,Rice,5619,4027,681.7,176,368
M0150,Delta,Export Hub,Tomato,7680,5662,305.5,523,1384
M0151,Ogun,Rural,Maize,1597,999,667.0,209,92
M0152,Kano,Export Hub,Onion,4356,1694,451.61,241,172
M0153,Ogun,Export Hub,Onion,6650,1914,728.86,498,138
M0154,Anambra,Urban,Yam,7483,7407,224.66,1181,899
M0155,Delta,Rural,Tomato,11108,3304,747.01,161,729
M0156,Benue,Urban,Cassava,4620,3015,408.34,872,37
M0157,Kano,Rural,Plantain,3095,1834,467.15,122,260
M0158,Enugu,Urban,Cassava,10352,4482,651.82,802,41
M0159,Kaduna,Export Hub,Tomato,6691,1234,544.71,170,164
M0160,Nasarawa,Rural,Pepper,3687,1147,256.13,296,10
M0161,Edo,Urban,Tomato,4543,2211,508.71,600,482
M0162,Kano,Urban,Rice,9054,1774,419.55,471,261
M0163,Nasarawa,Urban,Yam,7423,3275,790.74,923,15
M0164,Nasarawa,Rural,Tomato,4538,3760,473.39,683,249
M0165,Abia,Rural,Tomato,9613,5276,156.98,961,551
M0166,Abia,Export Hub,Cassava,6831,4084,228.67,358,233
M0167,Oyo,Rural,Plantain,2313,2304,712.41,450,266
M0168,Oyo,Urban,Yam,11956,335,123.27,11,8
M0169,Delta,Export Hub,Yam,7323,4459,787.64,592,932
M0170,Abia,Urban,Yam,3372,710,317.37,135,130
M0171,Delta,Rural,Maize,9464,3732,313.11,793,225
M0172,Kano,Rural,Yam,1983,1565,213.54,189,366
M0173,Anambra,Urban,Yam,11642,2166,271.13,165,346
M0174,Akwa Ibom,Rural,Yam,660,382,396.01,25,84
M0175,Benue,Rural,Tomato,4412,1711,139.56,468,404
M0176,Enugu,Export Hub,Tomato,4199,3934,457.97,656,983
M0177,Oyo,Export Hub,Onion,8338,6860,591.81,708,404
M0178,Benue,Export Hub,Yam,4838,4410,317.48,1255,278
M0179,Kano,Urban,Maize,9352,2495,329.9,631,494
M0180,Imo,Export Hub,Yam,11718,3595,505.35,455,559
M0181,Benue,Urban,Pepper,6564,4343,174.94,1126,918
M0182,Rivers,Export Hub,Onion,10834,843,301.95,239,151
M0183,Lagos,Export Hub,Rice,1750,662,419.22,5,133
M0184,Benue,Urban,Yam,11880,7737,731.02,977,1091
M0185,Edo,Rural,Pepper,6151,5242,738.53,269,53
M0186,Ogun,Urban,Maize,968,939,576.68,61,184
M0187,Imo,Export Hub,Maize,5526,1015,496.08,104,222
M0188,Kwara,Urban,Plantain,690,330,536.39,29,36
M0189,Imo,Rural,Plantain,2951,1864,684.07,555,358
M0190,Rivers,Urban,Onion,4211,1451,592.62,381,138
M0191,Plateau,Rural,Yam,7089,673,433.82,24,57
M0192,Delta,Rural,Rice,6300,4406,228.77,54,992
M0193,Anambra,Urban,Plantain,8730,6952,780.0,631,320
M0194,Delta,Export Hub,Pepper,4034,3523,299.31,509,202
M0195,Kwara,Rural,Rice,6311,5506,334.69,987,248
M0196,Akwa Ibom,Export Hub,Onion,631,454,596.47,35,32
M0197,Kano,Export Hub,Cassava,3384,1496,674.32,441,344
M0198,Plateau,Urban,Onion,7754,7135,400.12,1789,1379
M0199,Anambra,Rural,Maize,8948,2742,221.26,226,325
M0200,Plateau,Urban,Plantain,3597,3256,518.74,860,591
M0201,Kano,Urban,Rice,3764,2100,422.13,497,515
M0202,Anambra,Urban,Maize,11184,9638,548.69,2203,417
M0203,Benue,Export Hub,Yam,10340,4039,372.72,1173,962
M0204,Kwara,Urban,Maize,8463,6910,494.46,645,133
M0205,Ogun,Urban,Rice,2256,422,259.96,111,73
M0206,Abia,Urban,Maize,4788,2369,120.12,269,88
M0207,Anambra,Urban,Rice,8161,2128,707.08,248,380
M0208,Imo,Export Hub,Plantain,2475,1648,650.63,55,383
M0209,Edo,Rural,Cassava,4294,1156,562.94,18,179
M0210,Anambra,Urban,Plantain,9340,6730,580.21,639,458
M0211,Benue,Rural,Cassava,10182,8997,263.55,1124,1949
M0212,Nasarawa,Export Hub,Pepper,1404,741,174.3,147,118
M0213,Niger,Export Hub,Plantain,6644,3829,549.79,27,9
M0214,Anambra,Export Hub,Rice,3756,2225,217.05,307,134
M0215,Kwara,Urban,Cassava,7040,5680,420.3,1347,5
M0216,Oyo,Urban,Tomato,5924,4558,575.84,689,474
M0217,Akwa Ibom,Export Hub,Onion,5301,652,198.59,78,75
M0218,Delta,Export Hub,Onion,11124,1416,538.99,12,153
M0219,Kano,Export Hub,Plantain,11031,8513,324.07,501,1699
M0220,Nasarawa,Rural,Rice,7873,3438,338.8,891,109
M0221,Akwa Ibom,Rural,Pepper,11188,6504,518.68,1063,805
M0222,Kaduna,Rural,Cassava,11277,7655,638.72,831,537
M0223,Rivers,Urban,Cassava,5124,3260,221.1,617,156
M0224,Lagos,Rural,Pepper,5069,2250,143.02,574,125
M0225,Imo,Export Hub,Pepper,7880,5735,189.59,1200,620
M0226,Lagos,Rural,Yam,2388,1959,206.12,518,154
M0227,Kaduna,Export Hub,Rice,8355,1026,554.05,13,8
M0228,Rivers,Urban,Onion,2083,1432,316.94,309,99
M0229,Edo,Urban,Pepper,7429,3913,489.33,493,257
M0230,Kano,Urban,Cassava,11353,6988,163.53,239,625
M0231,Abia,Rural,Onion,11963,3820,510.61,568,601
M0232,Edo,Rural,Maize,950,588,554.15,149,116
M0233,Rivers,Rural,Yam,8941,1701,275.63,410,48
M0234,Rivers,Rural,Maize,2483,1596,374.23,426,260
M0235,Nasarawa,Rural,Plantain,7354,4503,294.89,1218,560
M0236,Akwa Ibom,Urban,Pepper,10625,3642,295.0,262,138
M0237,Enugu,Rural,Onion,3474,1776,605.24,198,132
M0238,Benue,Rural,Cassava,2172,915,149.33,53,169
M0239,Plateau,Rural,Maize,3731,1905,393.6,435,200
M0240,Plateau,Rural,Onion,9931,6850,776.11,1620,1055
M0241,Oyo,Urban,Pepper,6131,4856,606.18,75,953
M0242,Imo,Rural,Yam,3425,1772,332.49,274,400
M0243,Benue,Urban,Onion,6636,1806,726.66,181,432
M0244,Kano,Export Hub,Onion,9285,3773,217.59,689,489
M0245,Kwara,Rural,Pepper,9625,3964,301.9,673,868
M0246,Enugu,Rural,Tomato,7068,399,419.59,28,55
M0247,Kano,Urban,Cassava,10943,6446,292.03,0,1610
M0248,Anambra,Export Hub,Pepper,997,907,287.4,236,25
M0249,Ogun,Urban,Tomato,5297,2044,547.5,381,59
M0250,Kaduna,Export Hub,Plantain,10211,8248,300.78,1632,599
